filename,noise_type,description,sentence
common_voice_de_43346671_white.wav,white,Deutsches Sprachsample mit white-Noise,Bei der Eröffnungsfeier war er Fahnenträger der belgischen Delegation.
common_voice_de_43346671_office.wav,office,Deutsches Sprachsample mit office-Noise,Bei der Eröffnungsfeier war er Fahnenträger der belgischen Delegation.
common_voice_de_43346671_street.wav,street,Deutsches Sprachsample mit street-Noise,Bei der Eröffnungsfeier war er Fahnenträger der belgischen Delegation.
common_voice_de_43346671_echo.wav,echo,Deutsches Sprachsample mit echo-Noise,Bei der Eröffnungsfeier war er Fahnenträger der belgischen Delegation.
common_voice_de_43346671_lowpass.wav,lowpass,Deutsches Sprachsample mit lowpass-Noise,Bei der Eröffnungsfeier war er Fahnenträger der belgischen Delegation.
common_voice_de_43333486_white.wav,white,Deutsches Sprachsample mit white-Noise,Er ist ein leidenschaftlicher Jäger und ausgezeichneter Begleithund.
common_voice_de_43333486_office.wav,office,Deutsches Sprachsample mit office-Noise,Er ist ein leidenschaftlicher Jäger und ausgezeichneter Begleithund.
common_voice_de_43333486_street.wav,street,Deutsches Sprachsample mit street-Noise,Er ist ein leidenschaftlicher Jäger und ausgezeichneter Begleithund.
common_voice_de_43333486_echo.wav,echo,Deutsches Sprachsample mit echo-Noise,Er ist ein leidenschaftlicher Jäger und ausgezeichneter Begleithund.
common_voice_de_43333486_lowpass.wav,lowpass,Deutsches Sprachsample mit lowpass-Noise,Er ist ein leidenschaftlicher Jäger und ausgezeichneter Begleithund.
common_voice_de_43333840_white.wav,white,Deutsches Sprachsample mit white-Noise,"Volkssänger waren jedoch keine reinen Sänger, sie waren auch Alleinunterhalter."
common_voice_de_43333840_office.wav,office,Deutsches Sprachsample mit office-Noise,"Volkssänger waren jedoch keine reinen Sänger, sie waren auch Alleinunterhalter."
common_voice_de_43333840_street.wav,street,Deutsches Sprachsample mit street-Noise,"Volkssänger waren jedoch keine reinen Sänger, sie waren auch Alleinunterhalter."
common_voice_de_43333840_echo.wav,echo,Deutsches Sprachsample mit echo-Noise,"Volkssänger waren jedoch keine reinen Sänger, sie waren auch Alleinunterhalter."
common_voice_de_43333840_lowpass.wav,lowpass,Deutsches Sprachsample mit lowpass-Noise,"Volkssänger waren jedoch keine reinen Sänger, sie waren auch Alleinunterhalter."
common_voice_de_43331935_white.wav,white,Deutsches Sprachsample mit white-Noise,Früher gab es keine grösseren Siedlungszentren.
common_voice_de_43331935_office.wav,office,Deutsches Sprachsample mit office-Noise,Früher gab es keine grösseren Siedlungszentren.
common_voice_de_43331935_street.wav,street,Deutsches Sprachsample mit street-Noise,Früher gab es keine grösseren Siedlungszentren.
common_voice_de_43331935_echo.wav,echo,Deutsches Sprachsample mit echo-Noise,Früher gab es keine grösseren Siedlungszentren.
common_voice_de_43331935_lowpass.wav,lowpass,Deutsches Sprachsample mit lowpass-Noise,Früher gab es keine grösseren Siedlungszentren.
common_voice_de_43372962_white.wav,white,Deutsches Sprachsample mit white-Noise,Selbst in die Schweiz und nach Spanien wurden Glocken aus Erding geliefert.
common_voice_de_43372962_office.wav,office,Deutsches Sprachsample mit office-Noise,Selbst in die Schweiz und nach Spanien wurden Glocken aus Erding geliefert.
common_voice_de_43372962_street.wav,street,Deutsches Sprachsample mit street-Noise,Selbst in die Schweiz und nach Spanien wurden Glocken aus Erding geliefert.
common_voice_de_43372962_echo.wav,echo,Deutsches Sprachsample mit echo-Noise,Selbst in die Schweiz und nach Spanien wurden Glocken aus Erding geliefert.
common_voice_de_43372962_lowpass.wav,lowpass,Deutsches Sprachsample mit lowpass-Noise,Selbst in die Schweiz und nach Spanien wurden Glocken aus Erding geliefert.
